Model,Accuracy,Precision,Recall,F1,AUC
Scratch_CNN,0.5142857142857142,0.2644897959183673,0.5142857142857142,0.34932614555256064,0.5727124183006536
MobileNetV2,0.6428571428571429,0.6432653061224489,0.6428571428571429,0.6429300440323098,0.6578839869281046
EfficientNetB0,0.55,0.5542163632559114,0.55,0.5473026282084124,0.5629084967320261
